"阿","ā"
"景物","jǐng wù"
"景象","jǐng xiàng"
"警察","jǐng chá"
"警告","jǐng gào"
"警惕","jǐng tì"
"劲","jìng"
"径","jìng"
"径流","jìng liú"
"净","jìng"
"净化","jìng huà"
"竞赛","jìng sài"
"竞争","jìng zhēng"
"竟","jìng"
"竟然","jìng rán"
"敬","jìng"
"静","jìng"
"静脉","jìng mài"
"静止","jìng zhǐ"
"境","jìng"
"境地","jìng dì"
"境界","jìng jiè"
"镜","jìng"
"镜头","jìng tóu"
"镜子","jìng zi"
"纠纷","jiū fēn"
"纠正","jiū zhèng"
"究","jiū"
"究竟","jiū jìng"
"九","jiǔ"
"久","jiǔ"
"酒","jiǔ"
"酒精","jiǔ jīng"
"旧","jiù"
"救","jiù"
"救国","jiù guó"
"救济","jiù jì"
"就","jiù"
"就是","jiù shì"
"就算","jiù suàn"
"就业","jiù yè"
"舅舅","jiù jiu"
"车","jū"
"居","jū"
"居民","jū mín"
"居然","jū rán"
"居于","jū yú"
"居住","jū zhù"
"局","jú"
"局部","jú bù"
"局面","jú miàn"
"局势","jú shì"
"局限","jú xiàn"
"菊花","jú huā"
"咀嚼","jǔ jué"
"举","jǔ"
"举办","jǔ bàn"
"举动","jǔ dòng"
"举行","jǔ xíng"
"巨","jù"
"巨大","jù dà"
"句","jù"
"句子","jù zi"
"拒绝","jù jué"
"具","jù"
"具备","jù bèi"
"具体","jù tǐ"
"具有","jù yǒu"
"俱","jù"
"剧","jù"+
"剧本","jù běn"
"剧场","jù chǎng"
"剧烈","jù liè"
"剧团","jù tuán"
"剧种","jù zhǒng"
"据","jù"
"据点","jù diǎn"
"据说","jù shuō"
"距","jù"
"距离","jù lí"
"聚","jù"
"聚集","jù jí"
"捐","juān"
"圈","juān"
"卷","juǎn"
"卷","juàn"
"圈","juàn"
"决","jué"
"决策","jué cè"
"决定","jué dìng"
"决定性","jué dìng xìng"
"决心","jué xīn"
"决议","jué yì"
"角","jué"
"角色","jué sè"
"觉","jué"
"觉察","jué chá"
"觉得","jué de"
"觉悟","jué wù"
"绝","jué"
"绝对","jué duì"
"绝望","jué wàng"
"嚼","jué"
"军","jūn"
"军队","jūn duì"
"军阀","jūn fá"
"军官","jūn guān"
"军舰","jūn jiàn"
"军民","jūn mín"
"军区","jūn qū"
"军人","jūn rén"
"军事","jūn shì"
"均","jūn"
"均衡","jūn héng"
"均匀","jūn yún"
"君","jūn"
"君主","jūn zhǔ"
"菌","jūn"
"咖啡","kā fēi"
"卡","kǎ"
"开","kāi"
"开办","kāi bàn"
"开采","kāi cǎi"
"开除","kāi chú"
"开创","kāi chuàng"
"开发","kāi fā"
"开放","kāi fàng"
"开关","kāi guān"
"开花","kāi huā"
"开会","kāi huì"
"开垦","kāi kěn"
"开口","kāi kǒu"
"开阔","kāi kuò"
"开门","kāi mén"
"开幕","kāi mù"
"开辟","kāi pì"
"开设","kāi shè"
"开始","kāi shǐ"
"开水","kāi shuǐ"
"开头","kāi tóu"
"开拓","kāi tuò"
"开玩笑","kāi wán xiào"
"开展","kāi zhǎn"
"开支","kāi zhī"
"刊登","kān dēng"
"刊物","kān wù"
"看","kān"
"勘探","kān tàn"
"砍","kǎn"
"看","kàn"
"看待","kàn dài"
"看法","kàn fǎ"
"看见","kàn•jiàn"
"看望","kàn wàng"
"扛","káng"
"抗","kàng"
"抗议","kàng yì"
"抗战","kàng zhàn"
"炕","kàng"
"考","kǎo"
"考察","kǎo chá"
"考古","kǎo gǔ"
"考核","kǎo hé"
"考虑","kǎo lǜ"
"考试","kǎo shì"
"考验","kǎo yàn"
"靠","kào"
"靠近","kào jìn"
"科","kē"
"科技","kē jì"
"科学","kē xué"
"科学家","kē xué jiā"
"科学院","kē xué yuàn"
"科研","kē yán"
"棵","kē"
"颗","kē"
"颗粒","kē lì"
"壳","ké"
"咳","ké"
"咳嗽","ké sou"
"可","kě"
"可爱","kě ài"
"可见","kě jiàn"
"可靠","kě kào"
"可怜","kě lián"
"可能","kě néng"
"可是","kě shì"
"可谓","kě wèi"
"可惜","kě xī"
"可笑","kě xiào"
"可以","kě yǐ"
"渴望","kě wàng"
"克","kè"
"克服","kè fú"
"刻","kè"
"刻度","kè dù"
"刻画","kè huà"
"刻苦","kè kǔ"
"客","kè"
"客观","kè guān"
"客气","kè qi"
"客人","kè•rén"
"客体","kè tǐ"
"客厅","kè tīng"
"课","kè"
"课本","kè běn"
"课程","kè chéng"
"课堂","kè táng"
"课题","kè tí"
"肯","kěn"
"肯定","kěn dìng"
"啃","kěn"
"坑","kēng"
"空","kōng"
"空间","kōng jiān"
"空军","kōng jūn"
"空气","kōng qì"
"空前","kōng qián"
"空虚","kōng xū"
"空中","kōng zhōng"
"孔","kǒng"
"孔雀","kǒng què"
"恐怖","kǒng bù"
"恐慌","kǒng huāng"
"恐惧","kǒng jù"
"恐怕","kǒng pà"
"空","kòng"
"空白","kòng bái"
"控制","kòng zhì"
"口","kǒu"
"口袋","kǒu dai"
"口号","kǒu hào"
"口腔","kǒu qiāng"
"口头","kǒu tóu"
"口语","kǒu yǔ"
"扣","kòu"
"哭","kū"
"苦","kǔ"
"苦难","kǔ nán"
"苦恼","kǔ nǎo"
"库","kù"
"库存","kù cún"
"裤子","kù zi"
"夸张","kuā zhāng"
"跨","kuà"
"会计","kuài•jì"
"块","kuài"
"快","kuài"
"快活","kuài huo"
"快乐","kuài lè"
"快速","kuài sù"
"快要","kuài yào"
"筷子","kuài zi"
"宽","kuān"
"宽大","kuān dà"
"宽阔","kuān kuò"
"款","kuǎn"
"筐","kuāng"
"狂","kuáng"
"况且","kuàng qiě"
"矿","kuàng"
"矿产","kuàng chǎn"
"矿物","kuàng wù"
"亏","kuī"
"亏损","kuī sǔn"
"昆虫","kūn chóng"
"捆","kǔn"
"困","kùn"
"困境","kùn jìng"
"困难","kùn•nán"
"扩大","kuò dà"
"扩散","kuò sàn"
"扩展","kuò zhǎn"
"扩张","kuò zhāng"
"阔","kuò"
"拉","lā"
"拉","lá"
"喇叭","lǎ ba"
"落","là"
"蜡","là"
"蜡烛","là zhú"
"辣椒","là jiāo"
"来","lái"
"来不及","lái•bù jí"
"来回","lái huí"
"来临","lái lín"
"来往","lái wǎng"
"来信","lái xìn"
"来源","lái yuán"
"赖","lài"
"兰","lán"
"栏","lán"
"蓝","lán"
"烂","làn"
"狼","láng"
"浪","làng"
"浪费","làng fèi"
"浪花","làng huā"
"捞","lāo"
"劳","láo"
"劳动","láo dòng"
"劳动力","láo dòng lì"
"劳动日","láo dòng rì"
"劳动者","láo dòng zhě"
"劳力","láo lì"
"牢","láo"
"牢固","láo gù"
"老","lǎo"
"老百姓","lǎo bǎi xìng"
"老板","lǎo bǎn"
"老伴儿","lǎo bàn r"
"老大","lǎo dà"
"老汉","lǎo hàn"
"老虎","lǎo hǔ"
"老年","lǎo nián"
"老婆","lǎo po"
"老人","lǎo rén"
"老人家","lǎo•rén•jiā"
"老师","lǎo shī"
"老实","lǎo shi"
"老鼠","lǎo•shǔ"
"老太太","lǎo tài tài"
"老头子","lǎo tóu zi"
"老乡","lǎo xiāng"
"老爷","lǎo ye"
"老子","lǎo zi"
"落","lào"
"乐","lè"
"乐观","lè guān"
"累","léi"
"雷","léi"
"雷达","léi dá"
"累","lěi"
"泪","lèi"
"泪水","lèi shuǐ"
"类","lèi"
"类似","lèi sì"
"类型","lèi xíng"
"累","lèi"
"冷","lěng"
"冷静","lěng jìng"
"冷却","lěng què"
"冷水","lěng shuǐ"
"冷笑","lěng xiào"
"愣","lèng"
"离","lí"
"离婚","lí hūn"
"离开","lí kāi"
"离子","lí zǐ"
"梨","lí"
"犁","lí"
"礼","lǐ"
"礼貌","lǐ mào"
"礼物","lǐ wù"
"礼","lǐ"
"里","lǐ"
"里边","lǐ•biān"
"里面","lǐ•miàn"
"里头","lǐ tóu"
"理","lǐ"
"理解","lǐ jiě"
"理论","lǐ lùn"
"理想","lǐ xiǎng"
"理性","lǐ xìng"
"理由","lǐ yóu"
"理智","lǐ zhì"
"力","lì"
"力量","lì•liàng"
"力气","lì qì"
"力求","lì qiú"
"力图","lì tú"
"力学","lì xué"
"历","lì"
"历代","lì dài"
"历来","lì lái"
"历史","lì shǐ"
"厉害","lì hai"
"立","lì"
"立场","lì chǎng"
"立法","lì fǎ"
"立即","lì jí"
"立刻","lì kè"
"立体","lì tǐ"
"利","lì"
"利害","lì hài"
"利率","lì lǜ"
"利润","lì rùn"
"利息","lì xī"
"利益","lì yì"
"利用","lì yòng"
"利于","lì yú"
"例","lì"
"例如","lì rú"
"例外","lì wài"
"例子","lì zi"
"粒","lì"
"粒子","lì zǐ"
"俩","liǎ"
"连","lián"
"连队","lián duì"
"连接","lián jiē"
"连结","lián jié"
"连忙","lián máng"
"连同","lián tóng"
"连续","lián xù"
"莲子","lián zǐ"
"联","lián"
"联邦","lián bāng"
"联合","lián hé"
"联合国","lián hé guó"
"联结","lián jié"
"联络","lián luò"
"联盟","lián méng"
"联系","lián xì"
"联想","lián xiǎng"
"联营","lián yíng"
"廉价","lián jià"
"脸","liǎn"
"脸色","liǎn sè"
"练","liàn"
"练习","liàn xí"
"炼","liàn"
"恋爱","liàn ài"
"链","liàn"
"良","liáng"
"良好","liáng hǎo"
"良心","liáng xīn"
"良种","liáng zhǒng"
"凉","liáng"
"梁","liáng"
"量","liáng"
"粮","liáng"
"粮食","liáng shi"
"两","liǎng"
"两岸","liǎng àn"
"两边","liǎng biān"
"两极","liǎng jí"
"两旁","liǎng páng"
"亮","liàng"
"谅","liàng"
"辆","liàng"
"量","liàng"
"量子","liàng zǐ"
"辽阔","liáo kuò"
"了","liǎo"
"了不起","liǎo•bù qǐ"
"了解","liǎo jiě"
"料","liào"
"咧","liě"
"列","liè"
"列车","liè chē"
"列举","liè jǔ"
"烈士","liè shì"
"猎","liè"
"裂","liè"
"邻","lín"
"邻近","lín jìn"
"邻居","lín•jū"
"林","lín"
"林木","lín mù"
"林业","lín yè"
"临","lín"
"临床","lín chuáng"
"临时","lín shí"
"淋","lín"
"淋巴","lín bā"
"磷","lín"
"灵","líng"
"灵感","líng gǎn"
"灵魂","líng hún"
"灵活","líng huó"
"灵敏","líng mǐn"
"铃","líng"
"零","líng"
"零件","líng jiàn"
"零售","líng shòu"
"龄","líng"
"令","lǐng"
"岭","lǐng"
"领","lǐng"
"领导","lǐng dǎo"
"领会","lǐng huì"
"领事","lǐng shì"
"领土","lǐng tǔ"
"领袖","lǐng xiù"
"领域","lǐng yù"
"另","lìng"
"另外","lìng wài"
"令","lìng"
"溜","liū"
"刘","liú"
"留","liú"
"留学","liú xué"
"流","liú"
"流传","liú chuán"
"流动","liú dòng"
"流露","liú lù"
"流氓","liú máng"
"流派","liú pài"
"流水","liú shuǐ"
"流体","liú tǐ"
"流通","liú tōng"
"流向","liú xiàng"
"流行","liú xíng"
"流血","liú xuè"
"流域","liú yù"
"硫","liú"
"硫酸","liú suān"
"瘤","liú"
"柳","liǔ"
"六","liù"
"陆","liù"
"溜","liù"
"龙","lóng"
"笼","lóng"
"垄断","lǒng duàn"
"拢","lǒng"
"笼","lóng"
"笼罩","lǒng zhào"
"弄","nòng"
"搂","lōu"
"楼","lóu"
"楼房","lóu fáng"
"搂","lǒu"
"漏","lòu"
"露","lòu"
"炉","lú"
"炉子","lú zǐ"
"卤","lǔ"
"鲁","lǔ"
"陆","lù"
"陆地","lù dì"
"陆军","lù jūn"
"陆续","lù xù"
"录","lù"
"鹿","lù"
"路","lù"
"路程","lù chéng"
"路过","lù guò"
"路线","lù xiàn"
"路子","lù zi"
"露","lù"
"驴","lǘ"
"旅","lǚ"
"旅馆","lǚ guǎn"
"旅客","lǚ kè"
"旅行","lǚ xíng"
"旅游","lǚ yóu"
"铝","lǚ"
"缕","lǚ"
"履行","lǚ xíng"
"律","lǜ"
"律师","lǜ shī"
"率","lǜ"
"绿","lǜ"
"绿化","lǜ huà"
"氯","lǜ"
"氯气","lǜ qì"
"滤","lǜ"
"卵","luǎn"
"卵巢","luǎn cháo"
"乱","luàn"
"掠夺","lüè duó"
"略","lüè"
"伦理","lún lǐ"
"轮","lún"
"轮船","lún chuán"
"轮廓","lún kuò"
"轮流","lún liú"
"论","lùn"
"论点","lùn diǎn"
"论述","lùn shù"
"论文","lùn wén"
"论证","lùn zhèng"
"罗","luó"
"逻辑","luó•jí"
"螺旋","luó xuán"
"骆驼","luò tuó"
"络","luò"
"落","luò"
"落地","luò dì"
"落后","luò hòu"
"落实","luò shí"
"妈妈","mā mā"
"抹","mā"
"麻","má"
"麻烦","má fan"
"麻醉","má zuì"
"马","mǎ"
"马车","mǎ chē"
"马路","mǎ lù"
"马上","mǎ shàng"
"码","mǎ"
"码头","mǎ tou"
"蚂蚁","mǎ yǐ"
"骂","mà"
"埋","mái"
"买","mǎi"
"买卖","mǎi mai"
"迈","mài"
"麦","mài"
"卖","mài"
"脉","mài"
"蛮","mán"
"馒头","mán tou"
"瞒","mán"
"满","mǎn"
"满意","mǎn yì"
"满足","mǎn zú"
"漫长","màn cháng"
"慢","màn"
"慢性","màn xìng"
"忙","máng"
"忙碌","máng lù"
"盲目","máng mù"
"茫然","máng rán"
"猫","māo"
"毛","máo"
"毛病","máo•bìng"
"毛巾","máo jīn"
"矛盾","máo dùn"
"冒","mào"
"冒险","mào xiǎn"
"贸易","mào yì"
"帽","mào"
"帽子","mào zi"
"没","méi"
"没事","méi shì"
"没有","méi•yǒu"
"枚","méi"
"眉","méi"
"眉毛","méi mao"
"眉头","méi tóu"
"梅","méi"
"媒介","méi jiè"
"煤","méi"
"煤炭","méi tàn"
"酶","méi"
"每","měi"
"每年","měi nián"
"美","měi"
"美感","měi gǎn"
"美好","měi hǎo"
"美化","měi huà"
"美丽","měi lì"
"美妙","měi miào"
"美术","měi shù"
"美学","měi xué"
"美元","měi yuán"
"镁","měi"
"妹妹","mèi mèi"
"魅力","mèi lì"
"闷","mēn"
"门","mén"
"门口","mén kǒu"
"闷","mèn"
"蒙","méng"
"萌发","méng fā"
"萌芽","méng yá"
"蒙","méng"
"猛","měng"
"猛烈","měng liè"
"蒙","měng"
"孟","mèng"
"梦","mèng"
"弥补","mí bǔ"
"弥漫","mí màn"
"迷","mí"
"迷人","mí rén"
"迷信","mí xìn"
"谜","mí"
"米","mǐ"
"秘密","mì mì"
"秘书","mì shū"
"密","mì"
"密度","mì dù"
"密集","mì jí"
"密切","mì qiè"
"蜜","mì"
"蜜蜂","mì fēng"
"棉","mián"
"棉花","mián•huā"
"免","miǎn"
"免疫","miǎn yì"
"勉强","miǎn qiǎng"
"面","miàn"
"面积","miàn jī"
"面孔","miàn kǒng"
"面临","miàn lín"
"面貌","miàn mào"
"面目","miàn mù"
"面前","miàn qián"
"苗","miáo"
"描绘","miáo huì"
"描述","miáo shù"
"描写","miáo xiě"
"秒","miǎo"
"妙","miào"
"庙","miào"
"灭","miè"
"灭亡","miè wáng"
"民","mín"
"民兵","mín bīng"
"民歌","mín gē"
"民国","mín guó"
"民间","mín jiān"
"民事","mín shì"
"民俗","mín sú"
"民众","mín zhòng"
"民主","mín zhǔ"
"民族","mín zú"
"敏感","mǐn gǎn"
"敏捷","mǐn jié"
"敏锐","mǐn ruì"
"名","míng"
"名称","míng chēng"
"名词","míng cí"
"名义","míng yì"
"名字","míng zi"
"明","míng"
"明白","míng bai"
"明亮","míng liàng"
"明年","míng nián"
"明确","míng què"
"明天","míng tiān"
"明显","míng xiǎn"
"鸣","míng"
"命","mìng"
"命令","mìng lìng"
"命名","mìng míng"
"命题","mìng tí"
"命运","mìng yùn"
"摸","mō"
"摸索","mō•suǒ"
"模","mó"
"模范","mó fàn"
"模仿","mó fǎng"
"模糊","mó hu"
"模拟","mó nǐ"
"模式","mó shì"
"模型","mó xíng"
"膜","mó"
"摩","mó"
"摩擦","mócā"
"磨","mó"
"抹","mǒ"
"末","mò"
"末期","mòqī"
"没","mò"
"没落","mò luò"
"没收","mò shōu"
"抹","mò"
"陌生","mò shēng"
"莫","mò"
"墨","mò"
"默默","mò mò"
"磨","mò"
"谋","móu"
"某","mǒu"
"模样","mú yang"
"母","mǔ"
"母亲","mǔ•qīn"
"母体","mǔ tǐ"
"亩","mǔ"
"木","mù"
"木材","mù cái"
"木头","mù tou"
"目","mù"
"目标","mù biāo"
"目的","mù dì"
"目光","mù guāng"
"目前","mù qián"
"墓","mù"
"幕","mù"
"拿","ná"
"哪","nǎ"
"哪里","nǎ•lǐ"
"哪儿","nǎ r"
"哪些","nǎ xiē"
"那","nà"
"那里","nà•lǐ"
"那么","nà me"
"那儿","nà r"
"那些","nà xiē"
"那样","nà yàng"
"纳","nà"
"纳入","nà rù"
"纳税","nà shuì"
"钠","nà"
"乃","nǎi"
"乃至","nǎi zhì"
"奶","nǎi"
"奶奶","nǎi nai"
"耐","nài"
"耐心","nài xīn"
"男","nán"
"男女","nán nǚ"
"男人","nán rén"
"男性","nán xìng"
"男子","nán zǐ"
"南","nán"
"南北","nán běi"
"南方","nán fāng"
"南极","nán jí"
"难","nán"
"难道","nán dào"
"难得","nán dé"
"难怪","nán guài"
"难过","nán guò"
"难免","nán miǎn"
"难受","nán shòu"
"难题","nán tí"
"难以","nán yǐ"
"难于","nán yú"
"难","nàn"
"囊","náng"
"脑","nǎo"
"脑袋","nǎo dai"
"脑子","nǎo zi"
"闹","nào"
"内","nèi"
"内部","nèi bù"
"内地","nèi dì"
"内涵","nèi hán"
"内容","nèi róng"
"内外","nèi wài"
"内心","nèi xīn"
"内在","nèi zài"
"内脏","nèi zàng"
"嫩","nèn"
"能","néng"
"能动","néng dòng"
"能够","néng gòu"
"能力","néng lì"
"能量","néng liàng"
"能源","néng yuán"
"泥","ní"
"泥土","ní tǔ"
"拟","nǐ"
"你","nǐ"
"你们","nǐ men"
"逆","nì"
"年","nián"
"年初","nián chū"
"年代","nián dài"
"年底","nián dǐ"
"年度","nián dù"
"年级","nián jí"
"年纪","nián jì"
"年间","nián jiān"
"年龄","nián líng"
"年青","nián qīng"
"年轻","nián qīng"
"年头儿","nián tóu r"
"念","niàn"
"念头","niàn tou"
"娘","niáng"
"鸟","niǎo"
"尿","niào"
"捏","niē"
"您","nín"
"宁","níng"
"宁静","níng jìng"
"拧","níng"
"凝","níng"
"凝固","níng gù"
"凝结","níng jié"
"凝聚","níng jù"
"凝视","níng shì"
"拧","nǐng"
"宁","nìng"
"拧","nìng"
"牛","niú"
"牛顿","niú dùn"
"扭","niǔ"
"扭转","niǔ zhuǎn"
"农","nóng"
"农产品","nóng chǎn pǐn"
"农场","nóng chǎng"
"农村","nóng cūn"
"农户","nóng hù"
"农具","nóng jù"
"农民","nóng mín"
"农田","nóng tián"
"农药","nóng yào"
"农业","nóng yè"
"农作物","nóng zuò wù"
"浓","nóng"
"浓度","nóng dù"
"浓厚","nóng hòu"
"脓","nóng"
"弄","nòng"
"奴隶","nú lì"
"奴役","nú yì"
"努力","nǔ lì"
"怒","nù"
"女","nǚ"
"女儿","nǚ’ér"
"女工","nǚ gōng"
"女人","nǚ rén"
"女士","nǚ shì"
"女性","nǚ xìng"
"女婿","nǚ xu"
"女子","nǚ zǐ"
"暖","nuǎn"
"欧","ōu"
"偶","ǒu"
"偶尔","ǒu’ěr"
"偶然","ǒu rán"
"偶然性","ǒu rán xìng"
"扒","pá"
"爬","pá"
"怕","pà"
"拍","pāi"
"拍摄","pāi shè"
"排","pái"
"排斥","pái chì"
"排除","pái chú"
"排放","pái fàng"
"排列","pái liè"
"牌","pái"
"牌子","pái zi"
"派","pài"
"派出所","pài chū suǒ"
"派遣","pài qiǎn"
"潘","pān"
"攀","pān"
"盘","pán"
"判","pàn"
"判处","pàn chǔ"
"判定","pàn dìng"
"判断","pàn duàn"
"判决","pàn jué"
"盼","pàn"
"盼望","pàn wàng"
"庞大","páng dà"
"旁","páng"
"旁边","páng biān"
"胖","pàng"
"抛","pāo"
"抛弃","pāo qì"
"泡","pāo"
"炮","páo"
"跑","pǎo"
"泡","pào"
"炮","pào"
"炮弹","pào dàn"
"胚","pēi"
"胚胎","pēi tāi"
"陪","péi"
"培训","péi xùn"
"培养","péi yǎng"
"培育","péi yù"
"赔偿","péi cháng"
"佩服","pèi•fú"
"配","pèi"
"配合","pèi hé"
"配套","pèi tào"
"配置","pèi zhì"
"喷","pēn"
"盆","pén"
"盆地","pén dì"
"朋友","péng you"
"彭","péng"
"棚","péng"
"蓬勃","péng bó"
"膨胀","péng zhàng"
"捧","pěng"
"碰","pèng"
"批","pī"
"批发","pī fā"
"批判","pī pàn"
"批评","pī píng"
"批准","pī zhǔn"
"披","pī"
"皮","pí"
"皮肤","pí fū"
"疲倦","pí juàn"
"疲劳","pí láo"
"脾","pí"
"脾气","pí qi"
"匹","pǐ"
"屁股","pì gu"
"譬如","pì rú"
"偏","piān"
"偏见","piān jiàn"
"偏偏","piān piān"
"偏向","piān xiàng"
"篇","piān"
"便宜","pián yi"
"片","piàn"
"片刻","piàn kè"
"片面","piàn miàn"
"骗","piàn"
"飘","piāo"
"票","piào"
"漂亮","piào liang"
"拼命","pīn mìng"
"贫","pín"
"贫困","pín kùn"
"贫穷","pín qióng"
"频繁","pín fán"
"频率","pín lǜ"
"品","pǐn"
"品德","pǐn dé"
"品质","pǐn zhì"
"品种","pǐn zhǒng"
"乒乓球","pīng pāng qiú"
"平","píng"
"平常","píng cháng"
"平等","píng děng"
"平凡","píng fán"
"平分","píng fēn"
"平衡","píng héng"
"平静","píng jìng"
"平均","píng jūn"
"平面","píng miàn"
"平民","píng mín"
"平日","píng rì"
"平时","píng shí"
"平坦","píng tǎn"
"平行","píng xíng"
"平原","píng yuán"
"评","píng"
"评价","píng jià"
"评论","píng lùn"
"评选","píng xuǎn"
"苹果","píng guǒ"
"凭","píng"
"凭借","píng jiè"
"屏","píng"
"屏幕","píng mù"
"瓶","píng"
"坡","pō"
"颇","pō"
"婆婆","pó po"
"迫","pò"
"迫害","pò hài"
"迫切","pò qiè"
"迫使","pò shǐ"
"破","pò"
"破产","pò chǎn"
"破坏","pò huài"
"破裂","pò liè"
"剖面","pōu miàn"
"扑","pū"
"铺","pū"
"菩萨","pú•sà"
"葡萄","pú•táo"
"葡萄糖","pú•táo táng"
"朴素","pǔ sù"
"普遍","pǔ biàn"
"普及","pǔ jí"
"普通","pǔ tōng"
"普通话","pǔ tōng huà"
"谱","pǔ"
"铺","pù"
"七","qī"
"妻子","qī•zǐ"
"凄凉","qī liáng"
"期","qī"
"期待","qī dài"
"期货","qī huò"
"期间","qī jiān"
"期望","qī wàng"
"期限","qī xiàn"
"欺骗","qī piàn"
"漆","qī"
"齐","qí"
"其","qí"
"其次","qí cì"
"其间","qí jiān"
"其实","qí shí"
"其他","qí tā"
"其余","qí yú"
"其中","qí zhōng"
"奇","qí"
"奇怪","qí guài"
"奇迹","qí jì"
"奇特","qí tè"
"奇异","qí yì"
"骑","qí"
"旗","qí"
"旗帜","qí zhì"
"企图","qǐ tú"
"企业","qǐ yè"
"启发","qǐ fā"
"启示","qǐ shì"
"起","qǐ"
"起初","qǐ chū"
"起点","qǐ diǎn"
"起伏","qǐ fú"
"起来","qǐ•lái"
"起码","qǐ mǎ"
"起身","qǐ shēn"
"起义","qǐ yì"
"起源","qǐ yuán"
"气","qì"
"气氛","qì•fēn"
"气愤","qì fèn"
"气候","qì hòu"
"气流","qì liú"
"气体","qì tǐ"
"气团","qì tuán"
"气味","qì wèi"
"气温","qì wēn"
"气息","qì xī"
"气象","qì xiàng"
"气压","qì yā"
"气质","qì zhì"
"弃","qì"
"汽车","qì chē"
"汽油","qì yóu"
"契约","qì yuē"
"砌","qì"
"器","qì"
"器材","qì cái"
"器官","qì guān"
"卡","qiǎ"
"恰当","qià dàng"
"恰好","qià hǎo"
"千","qiān"
"千方百计","qiān fāng bǎi jì"
"千克","qiān kè"
"迁","qiān"
"迁移","qiān yí"
"牵","qiān"
"铅","qiān"
"铅笔","qiān bǐ"
"签订","qiān dìng"
"前","qián"
"前边","qián•biān"
"前方","qián fāng"
"前后","qián hòu"
"前进","qián jìn"
"前景","qián jǐng"
"前面","qián miàn"
"前期","qián qī"
"前人","qián rén"
"前提","qián tí"
"前头","qián tou"
"前途","qián tú"
"前往","qián wǎng"
"前夕","qián xī"
"前线","qián xiàn"
"钱","qián"
"潜","qián"
"潜力","qián lì"
"潜在","qián zài"
"浅","qiǎn"
"遣","qiǎn"
"欠","qiàn"
"嵌","qiàn"
"抢","qiāng"
"腔","qiāng"
"强","qiáng"
"强大","qiáng dà"
"强盗","qiáng dào"
"强调","qiáng diào"
"强度","qiáng dù"
"强化","qiáng huà"
"强烈","qiáng liè"
"强制","qiáng zhì"
"墙","qiáng"
"墙壁","qiáng bì"
"抢","qiǎng"
"抢救","qiǎng jiù"
"强","qiǎng"
"悄悄","qiāo qiāo"
"敲","qiāo"
"桥","qiáo"
"桥梁","qiáo liáng"
"瞧","qiáo"
"巧","qiǎo"
"巧妙","qiǎo miào"
"壳","qiào"
"切","qiē"
"且","qiě"
"切","qiè"
"切实","qiè shí"
"侵","qīn"
"侵犯","qīn fàn"
"侵略","qīn lüè"
"侵权","qīn quán"
"侵入","qīn rù"
"侵蚀","qīn shí"
"侵占","qīn zhàn"
"亲","qīn"
"亲密","qīn mì"
"亲戚","qīn qi"
"亲切","qīn qiè"
"亲热","qīn rè"
"亲人","qīn rén"
"亲属","qīn shǔ"
"亲眼","qīn yǎn"
"亲友","qīn yǒu"
"亲自","qīn zì"
"秦","qín"
"琴","qín"
"勤","qín"
"勤劳","qín láo"
"青","qīng"
"青春","qīng chūn"
"青年","qīng nián"
"青蛙","qīng wā"
"轻","qīng"
"轻工业","qīng gōng yè"
"轻声","qīng shēng"
"轻视","qīng shì"
"轻松","qīng sōng"
"轻微","qīng wēi"
"轻易","qīng yì"
"轻重","qīng zhòng"
"氢","qīng"
"氢气","qīng qì"
"倾","qīng"
"倾听","qīng tīng"
"倾向","qīng xiàng"
"倾斜","qīng xié"
"清","qīng"
"清晨","qīng chén"
"清除","qīng chú"
"清楚","qīng chu"
"清洁","qīng jié"
"清理","qīng lǐ"
"清晰","qīng xī"
"清醒","qīng xǐng"
"情","qíng"
"情报","qíng bào"
"情操","qíng cāo"
"情感","qíng gǎn"
"情节","qíng jié"
"情景","qíng jǐng"
"情境","qíng jìng"
"情况","qíng kuàng"
"情趣","qíng qù"
"情形","qíng•xíng"
"情绪","qíng•xù"
"请","qǐng"
"请求","qǐng qiú"
"请示","qǐng shì"
"庆祝","qìng zhù"
"穷","qióng"
"穷人","qióng rén"
"秋","qiū"
"秋季","qiū jì"
"秋天","qiū tiān"
"求","qiú"
"求证","qiú zhèng"
"酋长","qiú cháng"
"球","qiú"
"区","qū"
"区别","qū bié"
"区分","qū fēn"
"区域","qū yù"
"曲","qū"
"曲线","qū xiàn"
"曲折","qū zhé"
"驱","qū"
"驱逐","qū zhú"
"屈服","qū fú"
"趋","qū"
"趋势","qū shì"
"趋向","qū xiàng"
"渠","qú"
"渠道","qú dào"
"曲","qǔ"
"取","qǔ"
"取代","qǔ dài"
"取得","qǔ dé"
"取消","qǔ xiāo"
"娶","qǔ"
"去","qù"
"去年","qù nián"
"去世","qù shì"
"趣味","qù wèi"
"圈","quān"
"权","quán"
"权力","quán lì"
"权利","quán lì"
"权威","quán wēi"
"权益","quán yì"
"全","quán"
"全部","quán bù"
"全局","quán jú"
"全面","quán miàn"
"全民","quán mín"
"全球","quán qiú"
"全身","quán shēn"
"全体","quán tǐ"
"泉","quán"
"拳","quán"
"拳头","quán tou"
"劝","quàn"
"缺","quē"
"缺点","quē diǎn"
"缺乏","quē fá"
"缺少","quē shǎo"
"缺陷","quē xiàn"
"却","què"
"确","què"
"确保","què bǎo"
"确定","què dìng"
